,USPS,ST,NAME,ZCTA5,LAT,LON
120,Aveiro,02,Águeda,3750-168,40.5772,-8.4444
121,Aveiro,02,Águeda,3750-169,40.5772,-8.4444
122,Aveiro,02,Alto do Rio,3750-170,40.5772,-8.4444
123,Aveiro,02,Águeda,3750-171,40.5772,-8.4444
124,Aveiro,02,Águeda,3750-172,40.5772,-8.4444
125,Aveiro,02,Águeda,3750-173,40.5772,-8.4444
126,Aveiro,02,Águeda,3750-175,40.5772,-8.4444
127,Aveiro,02,Águeda,3750-176,40.5772,-8.4444
128,Aveiro,02,Águeda,3750-177,40.5609,-8.463
129,Aveiro,02,Águeda,3750-178,40.5772,-8.4444
130,Aveiro,02,Águeda,3750-180,40.5772,-8.4444
131,Aveiro,02,Zona Industrial En 1 Norte,3750-301,40.5772,-8.4444
132,Aveiro,02,Águeda,3750-301,40.5772,-8.4444
133,Aveiro,02,Alhandra,3750-302,40.5771,-8.4427
134,Aveiro,02,Águeda,3750-303,40.5772,-8.4444
135,Aveiro,02,Assequins,3750-304,40.5669,-8.433
136,Aveiro,02,Águeda,3750-305,40.5772,-8.4444
137,Aveiro,02,Bolfiar,3750-307,40.5636,-8.3985
138,Aveiro,02,Catraia de Assequins,3750-308,40.5771,-8.4427
139,Aveiro,02,Giesteira,3750-309,40.5925,-8.3977
140,Aveiro,02,Gravanço,3750-310,40.5875,-8.4324
141,Aveiro,02,Águeda,3750-311,40.5772,-8.4444
142,Aveiro,02,Maçoida,3750-312,40.6038,-8.3853
143,Aveiro,02,Águeda,3750-313,40.5772,-8.4444
144,Aveiro,02,Paredes,3750-314,40.5732,-8.4536
145,Aveiro,02,Raivo,3750-315,40.5648,-8.4096
146,Aveiro,02,Raso de Paredes,3750-316,40.5749,-8.448
147,Aveiro,02,Águeda,3750-317,40.5772,-8.4444
148,Aveiro,02,Sardão,3750-318,40.5643,-8.4469
149,Aveiro,02,Souto Rio,3750-319,40.5749,-8.448
150,Aveiro,02,Paredes,3750-320,40.5732,-8.4536
151,Aveiro,02,Zona Industrial En 1 Norte,3750-320,40.5732,-8.4536
152,Aveiro,02,Vale Domingos,3750-321,40.5806,-8.4157
153,Aveiro,02,Vale Sobreirinhos,3750-323,40.5957,-8.4425
154,Aveiro,02,Paredes,3750-324,40.5732,-8.4536
155,Aveiro,02,Zona Industrial da Giesteira,3750-325,40.5957,-8.4425
156,Aveiro,02,Cavadas,3750-326,40.5957,-8.4425
157,Aveiro,02,Rio Côvo,3750-327,40.58,-8.4013
158,Aveiro,02,Águeda,3750-329,40.5772,-8.4444
159,Aveiro,02,Águeda,3750-330,40.5772,-8.4444
160,Aveiro,02,Randam,3750-331,40.5638,-8.4493
161,Aveiro,02,Barrô,3750-351,40.5367,-8.4696
162,Aveiro,02,Carqueijo,3750-352,40.3218,-8.4524
163,Aveiro,02,Zona Industrial En 1 Sul,3750-353,40.4293,-8.461
164,Aveiro,02,Alvarim,3750-361,40.54,-8.3857
165,Aveiro,02,Belazaima do Chão,3750-362,40.5322,-8.3657
166,Aveiro,02,Feridouro,3750-363,40.5246,-8.3727
167,Aveiro,02,Póvoa do Vale do Trigo,3750-364,40.5221,-8.372
168,Aveiro,02,Corça,3750-365,40.5246,-8.3727
169,Aveiro,02,Póvoa de São Domingos,3750-365,40.5246,-8.3727
170,Aveiro,02,Serra de Baixo,3750-370,40.5661,-8.3947
171,Aveiro,02,Avelal de Baixo,3750-371,40.5661,-8.3947
172,Aveiro,02,Avelal de Cima,3750-372,40.5661,-8.3947
173,Aveiro,02,Castanheira do Vouga,3750-373,40.569,-8.3667
174,Aveiro,02,Falgarosa,3750-374,40.5661,-8.3947
175,Aveiro,02,Falgoselhe,3750-375,40.5661,-8.3947
176,Aveiro,02,Igreja,3750-376,40.579,-8.3516
177,Aveiro,02,Massadas,3750-377,40.5776,-8.3667
178,Aveiro,02,Redonda,3750-378,40.5511,-8.3787
179,Aveiro,02,Talhada,3750-379,40.5661,-8.3947
180,Aveiro,02,Vale da Galega,3750-380,40.5712,-8.4381
181,Aveiro,02,Serra de Cima,3750-381,40.5712,-8.4381
182,Aveiro,02,Casainho de Baixo,3750-401,40.557,-8.4891
183,Aveiro,02,Casal D'Alvaro,3750-402,40.557,-8.4891
184,Aveiro,02,Espinhel,3750-403,40.5679,-8.4907
185,Aveiro,02,Oronhe,3750-404,40.557,-8.4891
186,Aveiro,02,Paradela,3750-405,40.5452,-8.4885
187,Aveiro,02,Piedade,3750-406,40.5578,-8.4881
188,Aveiro,02,Vascos,3750-407,40.557,-8.4891
189,Aveiro,02,Fermentelos,3750-420,40.5682,-8.5247
190,Aveiro,02,Fermentelos,3750-421,40.5682,-8.5247
191,Aveiro,02,Fermentelos,3750-422,40.5682,-8.5247
192,Aveiro,02,Fermentelos,3750-423,40.5682,-8.5247
193,Aveiro,02,Fermentelos,3750-424,40.5682,-8.5247
194,Aveiro,02,Fermentelos,3750-425,40.5682,-8.5247
195,Aveiro,02,Fermentelos,3750-426,40.5682,-8.5247
196,Aveiro,02,Fermentelos,3750-427,40.5682,-8.5247
197,Aveiro,02,Fermentelos,3750-428,40.5682,-8.5247
198,Aveiro,02,Fermentelos,3750-429,40.5682,-8.5247
199,Aveiro,02,Fermentelos,3750-430,40.5682,-8.5247
200,Aveiro,02,Fermentelos,3750-431,40.5682,-8.5247
201,Aveiro,02,Fermentelos,3750-432,40.5682,-8.5247
202,Aveiro,02,Fermentelos,3750-433,40.5682,-8.5247
203,Aveiro,02,Fermentelos,3750-434,40.5682,-8.5247
204,Aveiro,02,Fermentelos,3750-435,40.5682,-8.5247
205,Aveiro,02,Fermentelos,3750-436,40.5682,-8.5247
206,Aveiro,02,Fermentelos,3750-437,40.5682,-8.5247
207,Aveiro,02,Fermentelos,3750-438,40.5682,-8.5247
208,Aveiro,02,Fermentelos,3750-439,40.5682,-8.5247
209,Aveiro,02,Fermentelos,3750-440,40.5682,-8.5247
210,Aveiro,02,Fermentelos,3750-441,40.5682,-8.5247
211,Aveiro,02,Fermentelos,3750-442,40.5682,-8.5247
212,Aveiro,02,Fermentelos,3750-443,40.5682,-8.5247
213,Aveiro,02,Fermentelos,3750-444,40.5682,-8.5247
214,Aveiro,02,Fermentelos,3750-445,40.5682,-8.5247
215,Aveiro,02,Fermentelos,3750-446,40.5682,-8.5247
216,Aveiro,02,Fermentelos,3750-447,40.5682,-8.5247
217,Aveiro,02,Fermentelos,3750-448,40.5682,-8.5247
218,Aveiro,02,Fermentelos,3750-449,40.5682,-8.5247
219,Aveiro,02,Fermentelos,3750-450,40.5682,-8.5247
220,Aveiro,02,Fermentelos,3750-451,40.5682,-8.5247
221,Aveiro,02,Fermentelos,3750-452,40.5682,-8.5247
222,Aveiro,02,Fermentelos,3750-453,40.5682,-8.5247
223,Aveiro,02,Fermentelos,3750-454,40.5682,-8.5247
224,Aveiro,02,Fermentelos,3750-455,40.5682,-8.5247
225,Aveiro,02,Fermentelos,3750-456,40.5682,-8.5247
226,Aveiro,02,Fermentelos,3750-457,40.5682,-8.5247
227,Aveiro,02,Fermentelos,3750-458,40.5682,-8.5247
228,Aveiro,02,Fermentelos,3750-459,40.5682,-8.5247
229,Aveiro,02,Fermentelos,3750-460,40.5682,-8.5247
230,Aveiro,02,Fermentelos,3750-461,40.5682,-8.5247
231,Aveiro,02,Fermentelos,3750-462,40.5682,-8.5247
232,Aveiro,02,Fermentelos,3750-463,40.5682,-8.5247
233,Aveiro,02,Fermentelos,3750-464,40.5682,-8.5247
234,Aveiro,02,Fermentelos,3750-465,40.5682,-8.5247
235,Aveiro,02,Fermentelos,3750-466,40.5682,-8.5247
236,Aveiro,02,Fermentelos,3750-467,40.5682,-8.5247
237,Aveiro,02,Fermentelos,3750-468,40.5682,-8.5247
238,Aveiro,02,Fermentelos,3750-469,40.5682,-8.5247
239,Aveiro,02,Fermentelos,3750-470,40.5682,-8.5247
240,Aveiro,02,Fermentelos,3750-471,40.5682,-8.5247
241,Aveiro,02,Fermentelos,3750-472,40.5682,-8.5247
242,Aveiro,02,Fermentelos,3750-473,40.5682,-8.5247
243,Aveiro,02,Fermentelos,3750-474,40.5682,-8.5247
244,Aveiro,02,Fermentelos,3750-475,40.5682,-8.5247
245,Aveiro,02,Fermentelos,3750-476,40.5682,-8.5247
246,Aveiro,02,Fermentelos,3750-477,40.5682,-8.5247
247,Aveiro,02,Fermentelos,3750-478,40.5682,-8.5247
248,Aveiro,02,Fermentelos,3750-479,40.5682,-8.5247
249,Aveiro,02,Fermentelos,3750-480,40.5682,-8.5247
250,Aveiro,02,Fermentelos,3750-481,40.5682,-8.5247
251,Aveiro,02,Fermentelos,3750-482,40.5682,-8.5247
252,Aveiro,02,Fermentelos,3750-483,40.5682,-8.5247
253,Aveiro,02,Fermentelos,3750-484,40.5682,-8.5247
254,Aveiro,02,Fermentelos,3750-485,40.5682,-8.5247
255,Aveiro,02,Fermentelos,3750-486,40.5682,-8.5247
256,Aveiro,02,Fermentelos,3750-487,40.5682,-8.5247
257,Aveiro,02,Fermentelos,3750-488,40.5682,-8.5247
258,Aveiro,02,Fermentelos,3750-489,40.5682,-8.5247
259,Aveiro,02,Fermentelos,3750-490,40.5682,-8.5247
260,Aveiro,02,Fermentelos,3750-491,40.5682,-8.5247
261,Aveiro,02,Fermentelos,3750-492,40.5682,-8.5247
262,Aveiro,02,Fermentelos,3750-493,40.5682,-8.5247
263,Aveiro,02,Fermentelos,3750-494,40.5682,-8.5247
264,Aveiro,02,Fermentelos,3750-495,40.5682,-8.5247
265,Aveiro,02,Fermentelos,3750-496,40.5682,-8.5247
266,Aveiro,02,Fermentelos,3750-497,40.5682,-8.5247
267,Aveiro,02,Fermentelos,3750-498,40.5682,-8.5247
268,Aveiro,02,Marnel,3750-551,40.6531,-8.4461
269,Aveiro,02,Lamas do Vouga,3750-551,40.6531,-8.4461
270,Aveiro,02,Pedaçães,3750-552,40.6531,-8.4461
271,Aveiro,02,Macieira de Alcoba,3750-561,40.6208,-8.2749
272,Aveiro,02,Ribeiro,3750-561,40.6182,-8.2732
273,Aveiro,02,Carvalho,3750-561,40.6802,-8.4621
274,Aveiro,02,Urgueira,3750-562,40.615,-8.2494
275,Aveiro,02,Alombada,3750-581,40.6837,-8.4081
276,Aveiro,02,Beco,3750-582,40.6499,-8.4372
277,Aveiro,02,Carvalhal da Portela,3750-583,40.6507,-8.4365
278,Aveiro,02,Cavadas de Baixo,3750-585,40.6507,-8.4365
279,Aveiro,02,Cavadas de Cima,3750-586,40.6507,-8.4365
280,Aveiro,02,Chãs,3750-587,40.6507,-8.4365
281,Aveiro,02,Cova,3750-588,40.6507,-8.4365
282,Aveiro,02,Pontilhão,3750-589,40.6507,-8.4365
283,Aveiro,02,Lameiro,3750-589,40.6507,-8.4365
284,Aveiro,02,Jafafe de Baixo,3750-590,40.654,-8.4522
285,Aveiro,02,Jafafe de Cima,3750-591,40.6684,-8.4565
286,Aveiro,02,Macida,3750-592,40.6674,-8.431
287,Aveiro,02,Macinhata do Vouga,3750-593,40.6535,-8.4533
288,Aveiro,02,Mesa,3750-594,40.6444,-8.465
289,Aveiro,02,Moita,3750-595,40.6717,-8.3908
290,Aveiro,02,Macinhata do Vouga,3750-596,40.6535,-8.4533
291,Aveiro,02,Serem de Baixo,3750-598,40.6596,-8.468
292,Aveiro,02,Serem de Cima,3750-599,40.6558,-8.4701
293,Aveiro,02,Sernada do Vouga,3750-600,40.6667,-8.45
294,Aveiro,02,Soutelo,3750-601,40.6696,-8.4374
295,Aveiro,02,Vouga,3750-602,40.6392,-8.4712
296,Aveiro,02,Carvoeiro,3750-603,40.684,-8.4362
297,Aveiro,02,Cavada Nova,3750-604,40.6648,-8.4487
298,Aveiro,02,Óis da Ribeira,3750-650,40.5827,-8.5018
299,Aveiro,02,Barrosa,3750-671,40.6213,-8.3405
300,Aveiro,02,Cabeço Cão,3750-672,40.6235,-8.3466
301,Aveiro,02,Cambra,3750-673,40.6103,-8.3675
302,Aveiro,02,Casal,3750-674,40.6172,-8.3686
303,Aveiro,02,Chouzinha,3750-675,40.6235,-8.3466
304,Aveiro,02,Junqueiro,3750-676,40.6235,-8.3466
305,Aveiro,02,Horta Nova,3750-676,40.6235,-8.3466
306,Aveiro,02,Lourizela,3750-677,40.6424,-8.3184
307,Aveiro,02,Pousadas,3750-678,40.6235,-8.3466
308,Aveiro,02,Préstimo,3750-679,40.6263,-8.3379
309,Aveiro,02,Quinta das Hortas,3750-680,40.6245,-8.372
310,Aveiro,02,Quinta do Pereiro,3750-681,40.6245,-8.372
311,Aveiro,02,Salgueiro,3750-682,40.6228,-8.3365
312,Aveiro,02,Serrascosa,3750-683,40.6245,-8.372
313,Aveiro,02,Sernada,3750-684,40.6097,-8.3749
314,Aveiro,02,Sernadinha,3750-684,40.6057,-8.3476
315,Aveiro,02,Vale do Lobo,3750-686,40.6245,-8.372
316,Aveiro,02,Vale Égua,3750-687,40.6245,-8.372
317,Aveiro,02,Ventoso,3750-690,40.6413,-8.3473
318,Aveiro,02,Carvalhal,3750-700,40.6228,-8.3365
319,Aveiro,02,Rio de Maçãs,3750-701,40.6351,-8.4527
320,Aveiro,02,Brejo,3750-711,40.5796,-8.4423
321,Aveiro,02,Paredes,3750-712,40.5732,-8.4536
322,Aveiro,02,Casainho de Cima,3750-712,40.5732,-8.4536
323,Aveiro,02,Crasto D'além,3750-713,40.5796,-8.4423
324,Aveiro,02,Crasto São Jorge,3750-713,40.5796,-8.4423
325,Aveiro,02,Vascos,3750-713,40.5796,-8.4423
326,Aveiro,02,Chão da Moita,3750-714,40.5796,-8.4423
327,Aveiro,02,Águeda,3750-715,40.5609,-8.463
328,Aveiro,02,Ferreirós,3750-716,40.5609,-8.463
329,Aveiro,02,Fujacos,3750-717,40.5796,-8.4423
330,Aveiro,02,Miradouro,3750-718,40.5796,-8.4423
331,Aveiro,02,Pinheiro Manso,3750-719,40.5796,-8.4423
332,Aveiro,02,Póvoa Carvalha,3750-720,40.5593,-8.4496
333,Aveiro,02,Póvoa Igreja,3750-721,40.5667,-8.4667
334,Aveiro,02,Póvoa das Laceiras,3750-722,40.5618,-8.4673
335,Aveiro,02,Póvoa Marta,3750-723,40.5629,-8.4566
336,Aveiro,02,Póvoa Poço,3750-724,40.5636,-8.4513
337,Aveiro,02,Randam,3750-725,40.5638,-8.4493
338,Aveiro,02,Recardães,3750-726,40.5636,-8.4513
339,Aveiro,02,Vale do Senhor,3750-727,40.5636,-8.4513
340,Aveiro,02,Zona Industrial En 1 Norte,3750-740,40.6104,-8.4687
341,Aveiro,02,Fontinha,3750-741,40.6053,-8.4996
342,Aveiro,02,Segadães,3750-742,40.6104,-8.4687
343,Aveiro,02,Aldeia,3750-743,40.6073,-8.5171
344,Aveiro,02,Mourisca do Vouga,3750-744,40.6043,-8.4873
345,Aveiro,02,Zona Industrial En 1 Norte,3750-745,40.6104,-8.4687
346,Aveiro,02,Zona Industrial En 1 Norte,3750-746,40.6104,-8.4687
347,Aveiro,02,Almear,3750-751,40.604,-8.4779
348,Aveiro,02,Cabanões,3750-752,40.59,-8.4978
349,Aveiro,02,Zona Industrial En 1 Norte,3750-753,40.604,-8.4779
350,Aveiro,02,Travassô de Baixo,3750-754,40.604,-8.4779
351,Aveiro,02,Travassô,3750-755,40.5965,-8.5057
352,Aveiro,02,Zona Industrial En 1 Norte,3750-756,40.604,-8.4779
353,Aveiro,02,Mourisca do Vouga,3750-759,40.6111,-8.4621
354,Aveiro,02,Zona Industrial En 1 Norte,3750-760,40.6014,-8.463
355,Aveiro,02,Mourisca do Vouga,3750-770,40.6111,-8.4621
356,Aveiro,02,Mourisca do Vouga,3750-771,40.6111,-8.4621
357,Aveiro,02,Covelas,3750-774,40.6111,-8.4621
358,Aveiro,02,Cheira,3750-774,40.6111,-8.4621
359,Aveiro,02,Pedaçães,3750-774,40.6111,-8.4621
360,Aveiro,02,Crastovães,3750-775,40.6111,-8.4621
361,Aveiro,02,Mourisca do Vouga,3750-776,40.6111,-8.4621
362,Aveiro,02,Mourisca do Vouga,3750-777,40.6111,-8.4621
363,Aveiro,02,Mourisca do Vouga,3750-778,40.6111,-8.4621
364,Aveiro,02,Mourisca do Vouga,3750-779,40.6111,-8.4621
365,Aveiro,02,Mourisca do Vouga,3750-780,40.6111,-8.4621
366,Aveiro,02,Mourisca do Vouga,3750-781,40.6111,-8.4621
367,Aveiro,02,Mourisca do Vouga,3750-782,40.6111,-8.4621
368,Aveiro,02,Mourisca do Vouga,3750-783,40.6111,-8.4621
369,Aveiro,02,Mourisca do Vouga,3750-784,40.6111,-8.4621
370,Aveiro,02,Mourisca do Vouga,3750-785,40.6111,-8.4621
371,Aveiro,02,Toural,3750-786,40.6111,-8.4621
372,Aveiro,02,Mourisca do Vouga,3750-786,40.6111,-8.4621
373,Aveiro,02,Mourisca do Vouga,3750-787,40.6111,-8.4621
374,Aveiro,02,Mourisca do Vouga,3750-788,40.6111,-8.4621
375,Aveiro,02,Mourisca do Vouga,3750-789,40.6111,-8.4621
376,Aveiro,02,Trofa,3750-790,40.6104,-8.4774
377,Aveiro,02,Trofa,3750-791,40.6104,-8.4774
378,Aveiro,02,Zona Industrial En 1 Norte,3750-792,40.6106,-8.4727
379,Aveiro,02,Mourisca do Vouga,3750-793,40.6111,-8.4621
380,Aveiro,02,Mourisca do Vouga,3750-794,40.6111,-8.4621
381,Aveiro,02,Mourisca do Vouga,3750-795,40.6111,-8.4621
382,Aveiro,02,Mourisca do Vouga,3750-796,40.6111,-8.4621
383,Aveiro,02,Mourisca do Vouga,3750-798,40.6111,-8.4621
384,Aveiro,02,A-dos-Ferreiros,3750-801,40.6238,-8.3752
385,Aveiro,02,Aguieira,3750-802,40.6141,-8.4348
386,Aveiro,02,Cumeada,3750-802,40.6141,-8.4348
387,Aveiro,02,Aguieira,3750-803,40.6141,-8.4348
388,Aveiro,02,Aldeia,3750-803,40.631,-8.4105
389,Aveiro,02,Arrancada do Vouga,3750-804,40.6177,-8.4239
390,Aveiro,02,Arrancada do Vouga,3750-805,40.6177,-8.4239
391,Aveiro,02,Arrancada do Vouga,3750-806,40.6177,-8.4239
392,Aveiro,02,Arrancada do Vouga,3750-807,40.6177,-8.4239
393,Aveiro,02,Arrancada do Vouga,3750-808,40.6177,-8.4239
394,Aveiro,02,Aguieira,3750-809,40.6141,-8.4348
395,Aveiro,02,Arrancada do Vouga,3750-809,40.6177,-8.4239
396,Aveiro,02,Arrancada do Vouga,3750-810,40.6177,-8.4239
397,Aveiro,02,Brunhido,3750-811,40.6206,-8.4209
398,Aveiro,02,Cadaveira,3750-812,40.6361,-8.3769
399,Aveiro,02,Calvário Arrancada do Vouga,3750-813,40.6206,-8.4209
400,Aveiro,02,Calvário da Veiga,3750-814,40.6206,-8.4209
401,Aveiro,02,Calvário,3750-815,40.6206,-8.4209
402,Aveiro,02,Carvalhosa,3750-818,40.6198,-8.4498
403,Aveiro,02,Casais,3750-819,40.6206,-8.4209
404,Aveiro,02,Fermentões,3750-822,40.633,-8.4389
405,Aveiro,02,Lanhezes,3750-824,40.6576,-8.4101
406,Aveiro,02,Moitedo,3750-825,40.6535,-8.3817
407,Aveiro,02,Gândara,3750-825,40.631,-8.4105
408,Aveiro,02,Paço,3750-827,40.6212,-8.4349
409,Aveiro,02,Póvoa do Espirito Santo,3750-829,40.6576,-8.4101
410,Aveiro,02,Espinheiros,3750-829,40.6576,-8.4101
411,Aveiro,02,Redonda,3750-830,40.6523,-8.418
412,Aveiro,02,Sabugal,3750-831,40.6391,-8.4156
413,Aveiro,02,Salgueiro,3750-832,40.6579,-8.3935
414,Aveiro,02,Santa Rita,3750-833,40.6237,-8.4509
415,Aveiro,02,Sobreiro,3750-834,40.6224,-8.3999
416,Aveiro,02,Toural,3750-835,40.6391,-8.4156
417,Aveiro,02,Valongo do Vouga,3750-836,40.6391,-8.4156
418,Aveiro,02,Veiga,3750-837,40.6391,-8.4156
419,Aveiro,02,Arrancada do Vouga,3750-840,40.6177,-8.4239
420,Aveiro,02,Arrancada do Vouga,3750-841,40.6177,-8.4239
